,0
658,Apple 
659,Apple 
660,Apple 
661,Apple 
662,Apple 
663,Apple 
664,Apple 
665,Apple 
666,Apple 
667,Apple 
668,Apple 
669,Apple 
670,Apple 
671,Apple 
672,Apple 
673,Apple 
674,Apple 
675,Apple 
676,Apple 
677,Apple 
678,Apple 
679,Apple 
680,Apple 
681,Google 
682,Goldman 
683,Apple 
684,Johnson 
685,German 
686,Kitzenberg 
687,Apple 
688,Apple 
689,Citi 
690,Apple 
691,Apple 
692,Apple 
693,Apple 
694,Apple 
695,Apple 
696,Apple 
697,Apple 
698,Apple 
699,Apple 
700,Apple 
701,Apple 
702,Apple 
703,Apple 
704,Apple 
705,Apple 
706,Apple 
707,Apple 
708,Apple 
709,Apple 
710,Business Insider 
711,Goldman Sachs 
712,Michigan 
713,Michigan 
714,Bitcoin 
715,Bitcoin 
716,Bitcoin 
717,Google 
718,Germany 
719,Bauman 
720,Goldman 
721,Goldman Sachs 
722,Ackman 
723,Apple 
724,Apple 
725,Apple 
726,Amazon 
727,Bitcoin 
728,Facebook 
729,Apple 
730,Facebook 
731,Facebook 
732,Facebook 
733,Facebook 
734,Amazon 
735,Facebook 
736,Morgan 
737,Johnson 
738,Morgan 
739,Ferguson 
740,Krugman 
741,Citi 
742,Kitson 
743,Ferguson 
744,Goldman 
745,Rosenberg 
746,Buffett 
747,Goldman Sachs 
748,Goldman 
749,Google 
750,Apple 
751,Apple 
752,Germany 
753,Germany 
754,Goldman Sachs 
755,Goldman 
756,Citi 
757,Buffett 
758,Google 
759,Microsoft 
760,Microsoft 
761,Apple 
762,Yahoo 
763,Buffett 
764,Ferguson 
765,Ackman 
766,Ackman 
767,Ackman 
768,Tesla 
769,Bitcoin 
770,Tesla 
771,Tesla 
772,Goldman Sachs 
773,Apple 
774,Hunsader 
775,Apple 
776,Goldman Sachs 
777,Reuters 
778,Business Insider 
779,Bitcoin 
780,Tesla 
781,Rosenberg 
782,Goldman 
783,Parkinson 
784,Goldman 
785,Johnson 
786,Tesla 
787,Bitcoin 
788,Apple 
789,Parkinson 
790,Morgan 
791,Ackman 
792,Apple 
793,Apple 
794,Robertson 
795,Apple 
796,Goldman 
797,Goldman 
798,Tesla 
799,Business Insider 
800,Facebook 
801,Facebook 
802,Facebook 
803,Facebook 
804,Krugman 
805,Business Insider 
806,Morgan 
807,Michigan 
808,Bloomberg 
809,Reuters 
810,Apple 
811,Apple 
812,Goldman 
813,Goldman 
814,Goldman 
815,Goldman 
816,Goldman 
817,Apple 
818,Apple 
819,Apple 
820,Apple 
821,Apple 
822,Apple 
823,Apple 
824,Apple 
825,Google 
826,Herbalife 
827,Ackman 
828,Apple 
829,Apple 
830,Apple 
831,Apple 
832,Goldman 
833,Bloomberg 
834,Ackman 
835,Morgan 
836,Beckerman 
837,Goldman 
838,Ackman 
839,Apple 
840,Englander 
841,Krugman 
842,Apple 
843,Apple 
844,Apple 
845,Apple 
846,Apple 
847,Apple 
848,Apple 
849,Apple 
850,Goldman Sachs 
851,Goldman Sachs 
852,Bitcoin 
853,Morgan 
854,Apple 
855,Apple 
856,Apple 
857,Google 
858,Apple 
859,Tesla 
860,Jackson 
861,Apple 
862,Apple 
863,Apple 
864,Apple 
865,Apple 
866,Apple 
867,Apple 
868,Facebook 
869,Morgan 
870,Microsoft 
871,Manhattan 
872,Goldman Sachs 
873,Goldman Sachs 
874,Manhattan 
875,Bitcoin 
876,Bitcoin 
877,Bitcoin 
878,Apple 
879,Apple 
880,Apple 
881,Apple 
882,Michigan 
883,Goldman 
884,Morgan 
885,Facebook 
886,Microsoft 
887,Microsoft 
888,Microsoft 
889,Microsoft 
890,Microsoft 
891,Tesla 
892,Bloomberg 
893,Ellison 
894,Simpson 
895,Ellison 
896,Goldman 
897,Ackman 
898,Business Insider 
899,Reuters 
900,Goldman 
901,Amazon 
902,Tesla 
903,Erdogan 
904,Goldman 
905,Samsung 
906,Apple 
907,Goldman 
908,Michigan 
909,Gilman 
910,Goldman Sachs 
911,Wal-Mart 
912,Tesla 
913,Tesla 
914,Tesla 
915,Tesla 
916,Paulson 
917,Michigan 
918,Wal-Mart 
919,Google 
920,Google 
921,Google 
922,Herbalife 
923,Herbalife 
924,Michigan 
925,Michigan 
926,Goldman Sachs 
927,Goldman 
928,Goldman 
929,Goldman 
930,Goldman 
931,Robinson 
932,Perelman 
933,Perelman 
934,Parkinson 
935,Perelman 
936,Samsung 
937,Yellen 
938,Berkeley 
939,Apple 
940,Google 
941,Citigroup 
942,Paulson 
943,Bitcoin 
944,Goldman Sachs 
945,Goldman 
946,Ader 
947,Apple 
948,Apple 
949,People 
950,Apple 
951,Apple 
952,Apple 
953,Goldman Sachs 
954,Michigan 
955,Business Insider 
956,Michigan 
957,Michigan 
958,Morgan 
959,Google 
960,Apple 
961,Business Insider 
962,Apple 
963,Apple 
964,Citi 
965,Bitcoin 
966,Bitcoin 
967,Goldman 
968,Tesla 
969,Ackman 
970,Ackman 
971,Ackman 
972,Ackman 
973,Ackman 
974,Ackman 
975,Goldman 
976,Business Insider 
977,Business Insider 
978,Business Insider 
979,Business Insider 
980,Michigan 
981,Michigan 
982,Goldman 
983,Goldman 
984,Germany 
985,Ackman 
986,Ackman 
987,Ackman 
988,Herbalife 
989,Herbalife 
990,Citi 
991,Citigroup 
992,Citigroup 
993,Citigroup 
994,Citigroup 
995,Goldman 
