,0
638,Bloomberg 
639,Bloomberg 
640,Morgan Stanley 
641,Morgan Stanley 
642,Bloomberg 
643,Morgan Stanley 
644,Bloomberg 
645,Morgan Stanley 
646,Stanley 
647,Bloomberg 
648,Morgan Stanley 
649,Bloomberg 
650,Bloomberg 
651,Bloomberg 
652,Bloomberg 
653,Bloomberg 
654,Bloomberg 
655,Bloomberg 
656,Bloomberg 
657,Bloomberg 
658,Morgan Stanley 
659,Bloomberg View 
660,Mickelson 
661,Bloomberg 
662,Bloomberg 
663,Bloomberg 
664,Morgan Stanley 
665,Bloomberg 
666,Bloomberg 
667,Bloomberg 
668,Bloomberg 
669,Stanley 
670,Bloomberg 
671,Bloomberg 
672,Bloomberg 
673,Bloomberg 
674,Bloomberg 
675,Bloomberg 
676,Bloomberg 
677,John 
678,Bloomberg 
679,Morgan Stanley 
680,Bloomberg 
681,Morgan Stanley 
682,Stanley 
683,Stanley 
684,Kjellberg 
685,Bloomberg 
686,Bloomberg 
687,Bloomberg 
688,Bloomberg 
689,Bloomberg News 
690,Morgan Stanley 
691,Bloomberg 
692,Bloomberg 
693,Bloomberg 
694,Bloomberg 
695,Bloomberg 
696,Bloomberg 
697,Morgan Stanley 
698,Bloomberg 
699,Morgan Stanley 
700,Bill Ackman 
701,Bloomberg 
702,Morgan Stanley 
703,Stanley 
704,Morgan Stanley 
705,Bloomberg 
706,Morgan Stanley 
707,Bloomberg 
708,Stanley 
709,Morgan Stanley 
710,Bloomberg 
711,Bloomberg 
712,Bloomberg 
713,Bloomberg 
714,Bloomberg 
715,Bloomberg 
716,Bloomberg 
717,Bloomberg 
718,Bloomberg 
719,Bloomberg 
720,Bloomberg 
721,Bloomberg 
722,Bloomberg 
723,Bloomberg 
724,Bloomberg 
725,Bloomberg 
726,Bloomberg 
727,Bloomberg 
728,Bloomberg 
729,Bloomberg 
730,Bloomberg 
731,Bloomberg 
732,Bloomberg 
733,Morgan Stanley 
734,Bloomberg 
735,Bloomberg 
