,0
934,41.5%
935,17%
936,14%
937,50%
938,13%
939,10%
940,24%
941,7.5%
942,5.5%
943,29%
944,63%
945,30%
946,50%
947,75%
948,80%
949,14%
950,1.3%
951,24%
952,20%
953,5.5%
954,7.5%
955,30%
956,-75%
957,2.5%
958,1.33%
959,80%
960,12%
961,05%
962,0.95%
963,11.4%
964,12.1%
965,2.5%
966,25%
967,90%
968,2.2%
969,2.5%
970,6.7%
971,6.8%
972,80.7%
973,85.8%
974,102.7%
975,2.2%
976,2.5%
977,6.7%
978,6.8%
979,39%
980,38%
981,22%
982,18%
983,2.8%
984,30%
985,50%
986,165.4%
987,80.7%
988,85.8%
989,102.7%
990,15%
991,25%
992,17%
993,18%
994,13%
995,35%
996,47%
997,35%
998,57%
999,51%
1000,48%
1001,50%
1002,63%
1003,48%
1004,44%
1005,31%
1006,81%
1007,74%
1008,33%
1009,31%
1010,16%
1011,27%
1012,23%
1013,50%
1014,46%
1015,40%
1016,37%
1017,77%
1018,50%
1019,47%
1020,45%
1021,22%
1022,19%
1023,11%
1024,47%
1025,45%
1026,35%
1027,76%
1028,53%
1029,79%
1030,70%
1031,40%
1032,3.76%
1033,9.06%
1034,75%
1035,40%
1036,10%
1037,8.0%
1038,9.3%
1039,1.3%
1040,6.8%
1041,8.9%
1042,11.2%
1043,2.3%
1044,5.6%
1045,3.4%
1046,6.1%
1047,2.7%
1048,3.2%
1049,3.5%
1050,8.4%
1051,4.9%
1052,3.1%
1053,7.9%
1054,5.3%
1055,3.4%
1056,2.0%
1057,2.9%
1058,0.5%
1059,3.4%
1060,2.0%
1061,3.4%
1062,1.9%
1063,5.3%
1064,4.0%
1065,6.8%
1066,2.8%
1067,0.3%
1068,7.9%
1069,13.6%
1070,5.7%
1071,6.4%
1072,8.7%
1073,2.3%
1074,8.7%
1075,4.5%
1076,8.6%
1077,4.1%
1078,7.9%
1079,79%
1080,82%
1081,75%
1082,5.38%
1083,1.5%
1084,2.03%
1085,0.23%
1086,60%
1087,1.3%
1088,95%
1089,25%
1090,73%
1091,10%
1092,10%
1093,78%
1094,35%
1095,-6%
1096,54%
1097,65%
1098,33%
